,Bal,Brick,Dist,Floor,Kitsp,Livesp,Metrdist,New,Nfloor,Price,Rooms,Totsp,Walk
76,1,0,1.8012169904902868,2,2.0794415416798357,2.8903717578961645,14.0,0,14.0,7800000,1.0,3.6375861597263857,1.0
80,1,1,0.7500921216166602,3,1.3862943611198906,2.70805020110221,4.0,0,5.0,7850000,1.0,3.1780538303479458,1.0
81,1,1,1.5394236521891311,5,1.7227665977411035,3.374168709274236,7.0,0,5.0,7850000,2.0,3.770459441106359,1.0
82,1,0,1.0015543320551616,7,1.62924053973028,3.068052935133617,8.0,0,9.0,7850000,1.0,3.456316680883235,1.0
83,1,0,1.0015543320551616,7,1.62924053973028,3.068052935133617,7.0,0,9.0,7850000,1.0,3.456316680883235,1.0
84,1,1,1.4253571633976867,5,2.8903717578961645,4.637637376125593,5.0,0,11.0,119000000,5.0,5.088830141681313,1.0
85,1,1,1.154141615449522,2,2.772588722239781,4.007333185232471,4.0,0,11.0,48227922,2.0,4.2626798770413155,1.0
87,1,1,1.644050722578132,1,2.2512917986064953,3.58351893845611,18.0,0,5.0,7900000,2.0,4.04305126783455,1.0
88,0,0,1.1607543418272965,1,2.1972245773362196,2.9444389791664403,7.0,0,12.0,7900000,1.0,3.5263605246161616,0.0
90,1,0,1.3355404034265366,8,2.0794415416798357,3.122364924487357,4.0,0,9.0,8000000,2.0,3.6054978451748854,1.0
91,1,0,1.1385313795740948,2,1.791759469228055,3.068052935133617,3.0,0,9.0,8000000,1.0,3.4719664525503626,1.0
95,1,0,1.4306977574763315,7,1.7227665977411035,3.475067230228611,7.0,0,9.0,8100000,2.0,3.7977338590260183,1.0
96,1,0,1.7117900223715552,1,2.4849066497880004,3.6109179126442243,18.0,0,12.0,8100000,2.0,3.9512437185814275,1.0
97,0,0,1.4049101969490865,2,2.1972245773362196,2.70805020110221,7.0,0,17.0,8100000,1.0,3.5553480614894135,1.0
98,1,1,1.5000799882607987,2,1.791759469228055,3.258096538021482,5.0,0,8.0,8100000,2.0,3.6888794541139363,0.0
104,0,0,0.8652130214290917,1,1.9459101490553132,2.8449093838194073,8.0,0,12.0,8400000,1.0,3.4372078191851885,1.0
105,1,1,1.2719876446760785,9,1.62924053973028,2.9444389791664403,6.0,0,9.0,8400000,1.0,3.4657359027997265,1.0
107,1,1,1.505040207752202,3,2.3978952727983707,2.833213344056216,5.0,0,25.0,8490000,1.0,3.6109179126442243,1.0
108,0,0,1.415375052560864,1,2.174751721484161,3.4657359027997265,3.0,0,12.0,8499000,2.0,3.8522730010223722,1.0
109,1,0,1.0705496960044083,4,2.1972245773362196,3.5263605246161616,3.0,0,6.0,8500000,2.0,3.979681653901961,1.0
110,1,1,1.4681912413615217,1,2.302585092994046,3.1354942159291497,3.0,0,3.0,8500000,1.0,3.6635616461296463,1.0
111,1,1,0.8546547398286561,1,1.824549292051046,2.833213344056216,10.0,0,5.0,8500000,1.0,3.407841924380824,1.0
112,1,1,1.4346168749027115,5,2.833213344056216,4.143134726391533,12.0,0,17.0,85000000,3.0,4.787491742782046,1.0
114,1,1,1.2396300109186331,3,3.1354942159291497,3.970291913552122,9.0,0,14.0,44900000,2.0,4.330733340286331,1.0
115,1,1,1.4561340413771002,5,1.9459101490553132,3.1780538303479458,13.0,0,14.0,8500000,2.0,3.6635616461296463,1.0
119,1,1,1.4001018193295671,22,2.3978952727983707,3.0007198150650303,11.0,1,44.0,8589500,1.0,3.735285826928092,1.0
121,1,0,1.2515524044037758,6,2.302585092994046,2.995732273553991,5.0,0,12.0,8600000,1.0,3.5553480614894135,1.0
124,1,0,1.13656296335168,14,2.302585092994046,2.9444389791664403,9.0,0,16.0,8650000,1.0,3.6635616461296463,1.0
126,1,0,1.4862708640399325,12,2.0794415416798357,2.9444389791664403,10.0,0,17.0,8700000,1.0,3.6635616461296463,1.0
127,1,0,1.5723390244382138,6,1.791759469228055,3.3775875160230218,15.0,0,12.0,8700000,2.0,3.8066624897703196,1.0
128,1,1,1.3884603676971978,4,2.0794415416798357,3.6375861597263857,9.0,0,6.0,8700000,3.0,3.9512437185814275,1.0
129,1,0,1.2515524044037758,8,2.302585092994046,2.995732273553991,5.0,0,12.0,8700000,1.0,3.58351893845611,1.0
131,1,1,1.3730142467353652,1,1.791759469228055,3.6888794541139363,8.0,0,7.0,8800000,2.0,3.970291913552122,1.0
132,1,0,1.3709242618451736,11,2.0149030205422647,3.100092288878234,5.0,0,12.0,8800000,2.0,3.676300671907076,1.0
133,0,0,0.8150625972069919,4,1.9459101490553132,2.833213344056216,4.0,0,12.0,8800000,1.0,3.4965075614664802,0.0
134,1,0,1.3693590593809615,11,2.0149030205422647,3.100092288878234,5.0,0,12.0,8800000,2.0,3.676300671907076,1.0
137,1,0,1.526886969028756,9,1.791759469228055,3.2188758248682006,5.0,0,9.0,8890000,2.0,3.6635616461296463,1.0
139,1,0,1.459957571403555,1,1.9459101490553132,3.4339872044851463,9.0,0,12.0,8900000,2.0,3.8607297110405954,1.0
140,1,1,0.8173288865160544,2,2.4849066497880004,3.784189633918261,2.0,0,6.0,25000000,2.0,4.02535169073515,1.0
142,1,1,0.6726431926012255,3,2.1972245773362196,3.7376696182833684,7.0,0,8.0,37500000,2.0,4.219507705176107,1.0
143,1,1,1.2051241482745823,2,2.1972245773362196,2.833213344056216,14.0,0,9.0,8900000,1.0,3.505557396986398,1.0
146,1,0,1.461697803280311,6,2.0794415416798357,3.044522437723423,6.0,0,17.0,8950000,1.0,3.597312260588446,1.0
148,1,1,1.4001018193295671,7,2.70805020110221,3.1780538303479458,11.0,1,44.0,8963500,1.0,3.817712325956905,1.0
149,1,1,1.33673617181342,6,2.0149030205422647,2.9444389791664403,8.0,0,17.0,8990000,1.0,3.6375861597263857,1.0
150,1,1,1.5824205853267974,13,2.0918640616783932,2.797281334830153,15.0,0,24.0,9000000,1.0,3.711130063048756,1.0
151,1,0,1.423335863284844,9,2.0794415416798357,2.9444389791664403,11.0,0,17.0,9000000,1.0,3.6375861597263857,1.0
152,1,1,1.599544456473897,3,2.0794415416798357,2.8903717578961645,15.0,0,14.0,9000000,1.0,3.5263605246161616,1.0
153,1,1,1.7712646944081898,8,1.7047480922384253,3.3463891451671604,9.0,0,9.0,9000000,2.0,3.7376696182833684,1.0
154,1,0,1.2532655586336259,5,2.2617630984737906,2.995732273553991,9.0,0,12.0,9000000,1.0,3.5610460826040513,1.0
155,1,1,1.4362467191741692,1,1.7404661748405046,3.6506582412937387,12.0,0,5.0,9000000,2.0,4.007333185232471,1.0
156,1,1,1.0913354430721773,1,2.1972245773362196,2.833213344056216,10.0,0,9.0,9000000,1.0,3.6109179126442243,1.0
157,1,0,1.3709242618451736,1,2.302585092994046,2.995732273553991,7.0,0,12.0,9000000,1.0,3.6888794541139363,1.0
158,1,0,1.3709242618451736,10,1.9459101490553132,3.1354942159291497,5.0,0,12.0,9000000,2.0,3.6888794541139363,1.0
159,1,1,1.644050722578132,1,2.302585092994046,3.8918202981106265,15.0,0,5.0,9100000,3.0,4.30406509320417,1.0
160,1,1,1.3931596428372983,3,2.3978952727983707,3.091042453358316,5.0,0,5.0,9100000,1.0,3.751854253275325,1.0
162,0,1,0.7878620344254024,3,1.3862943611198906,3.1780538303479458,4.0,0,5.0,9200000,2.0,3.4965075614664802,1.0
163,1,1,1.4603802790414029,3,2.0541237336955462,3.4011973816621555,8.0,0,9.0,9200000,2.0,3.828641396489095,1.0
164,1,1,1.0695451971012033,1,1.791759469228055,3.367295829986474,6.0,0,5.0,9200000,2.0,3.784189633918261,1.0
165,1,0,1.3931596428372983,6,1.9459101490553132,3.5553480614894135,2.0,0,6.0,9200000,2.0,3.751854253275325,1.0
166,1,0,1.3925697263883605,7,1.9459101490553132,3.1780538303479458,5.0,0,12.0,9280000,2.0,3.6635616461296463,1.0
167,1,0,1.2636243316419313,6,2.312535423847214,2.995732273553991,5.0,0,18.0,9300000,1.0,3.6506582412937387,1.0
170,1,1,1.4253571633976867,4,2.772588722239781,4.151039905898646,5.0,0,12.0,60480000,3.0,4.613138355637268,1.0
171,1,1,1.184380896835274,9,1.791759469228055,2.8903717578961645,10.0,0,9.0,9300000,1.0,3.4531571205928664,1.0
172,0,0,1.2636243316419313,6,2.302585092994046,2.995732273553991,5.0,0,18.0,9300000,1.0,3.6506582412937387,1.0
176,1,1,1.3347171027595424,4,1.916922612182061,3.367295829986474,15.0,0,5.0,9400000,2.0,3.8066624897703196,1.0
177,1,1,1.3567438441637296,9,2.1972245773362196,2.8903717578961645,11.0,0,9.0,9450000,1.0,3.5234150143864045,1.0
178,1,1,1.3052922030586258,4,1.7047480922384253,3.353406717825807,10.0,0,5.0,9500000,2.0,3.751854253275325,1.0
180,1,0,1.4083134662868158,8,1.791759469228055,3.4011973816621555,4.0,0,9.0,9500000,2.0,3.8199077165203406,1.0
181,1,1,1.375769820677727,2,2.1400661634962708,2.8903717578961645,9.0,0,17.0,9500000,1.0,3.6635616461296463,1.0
182,1,1,1.2643821314238521,3,2.0794415416798357,2.8903717578961645,9.0,0,14.0,9500000,1.0,3.58351893845611,1.0
