,Bal,Brick,Dist,District,Floor,Kitsp,Link,Livesp,Metrdist,N,New,Nfloor,Price,Rooms,Tel,Totsp,Walk
42,1,0,5.212504725168086,0,5,8.0,http://www.cian.ru/sale/flat/148617667/,28.0,15.0,42,0,5.0,6950000,2,1.0,43.0,0.0
43,1,1,4.3667164235727185,0,5,6.0,http://www.cian.ru/sale/flat/150519279/,22.0,16.0,43,0,9.0,7000000,2,,34.0,1.0
44,0,0,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/149031338/,31.7,6.0,44,1,,7007958,1,,31.7,1.0
45,1,1,4.106200426363245,0,3,,http://www.cian.ru/sale/flat/151791646/,27.8,,45,1,19.0,7021000,2,,41.3,
46,1,0,2.6612486798242307,0,8,9.7,http://www.cian.ru/sale/flat/151850891/,19.1,10.0,46,0,16.0,7079400,1,0.0,34.2,1.0
47,1,0,2.6612486798242307,0,8,9.0,http://www.cian.ru/sale/flat/149213364/,19.0,5.0,47,0,16.0,7079400,1,,34.0,1.0
48,1,0,2.6612486798242307,0,11,9.7,http://www.cian.ru/sale/flat/151850892/,19.0,10.0,48,0,16.0,7113600,1,0.0,34.2,1.0
49,1,0,3.9002470452937743,0,4,10.0,http://www.cian.ru/sale/flat/152093956/,20.0,15.0,49,0,12.0,7150000,1,,36.0,1.0
50,1,0,3.814098784488056,0,3,6.0,http://www.cian.ru/sale/flat/50164012/,21.0,5.0,50,0,9.0,7200000,1,,34.0,1.0
51,1,0,5.3687618286697365,0,3,6.0,http://www.cian.ru/sale/flat/136989739/,24.0,15.0,51,0,14.0,7200000,2,,40.0,1.0
52,1,0,5.002852792719253,0,4,,http://www.cian.ru/sale/flat/151590271/,25.0,12.0,52,0,5.0,7200000,1,,27.0,1.0
53,1,1,4.106200426363245,0,6,,http://www.cian.ru/sale/flat/151790164/,27.8,,53,1,19.0,7210000,2,,41.2,
54,1,0,6.377123703045209,0,12,12.0,http://www.cian.ru/sale/flat/151738907/,20.0,5.0,54,0,12.0,7250000,1,1.0,36.0,0.0
55,0,0,4.075651203998337,0,3,,http://www.cian.ru/sale/flat/149031370/,32.2,6.0,55,1,,7269461,1,,32.2,1.0
56,0,1,1.8414627640887382,0,2,12.2,http://www.cian.ru/sale/flat/151644697/,58.3,5.0,56,1,6.0,47248782,3,,97.7,1.0
57,0,1,4.034991168651219,0,9,,http://www.cian.ru/sale/flat/147850458/,,7.0,57,0,12.0,188342075,4,1.0,170.0,1.0
58,1,1,3.3856854846965607,0,3,12.5,http://www.cian.ru/sale/flat/152137492/,61.0,7.0,58,0,26.0,40000000,3,1.0,104.0,1.0
59,1,0,4.149075524667853,0,5,7.5,http://www.cian.ru/sale/flat/150627596/,17.6,8.0,59,0,9.0,7280000,1,,33.0,1.0
60,1,1,4.075651203998337,0,4,,http://www.cian.ru/sale/flat/151929933/,,5.0,60,0,4.0,7300000,2,,33.6,1.0
61,1,0,2.9753393610304695,0,4,6.0,http://www.cian.ru/sale/flat/149396229/,19.5,5.0,61,0,5.0,7300000,1,0.0,32.0,0.0
62,0,0,4.075651203998337,0,3,,http://www.cian.ru/sale/flat/149031368/,32.5,6.0,62,1,,7334891,1,,32.5,1.0
